chrname,book,book.id,book.json,names in book,chrsex,valence,salience,authrsex,ae,aa,ac,as,ao,zae,zaa,zac,zas,zao
John Knightley,Emma,emma.book,,Mr. John Knightley,1,1,2,2,2,2.5,6,2.5,2,-1.313515806,-0.909542574,0.626270024,-0.980430534,-1.504927917
Miss Bates,Emma,emma.book,,Miss Bates,2,1,2,2,5.7,5.75,3.9,2.95,3.2,0.765526835,0.785633788,-0.576577958,-0.698280902,-0.775601876
Mr. Weston,Emma,emma.book,,Mr. Weston,1,1,2,2,7,7,3,5,4.5,1.496001277,1.437624697,-1.092084237,0.587067423,0.014501334
Mrs. Weston (Previously Miss Taylor),Emma,emma.book,,Miss Taylor/Mrs. Weston,2,1,2,2,4,6,6,5,4.5,-0.189708973,0.91603197,0.626270024,0.587067423,0.014501334
Reverend Philip Elton,Emma,emma.book,,Mr. Elton,1,2,1,2,5.833333333,2.833333333,4.166666667,4.333333333,2.333333333,0.840447291,-0.735678332,-0.423835358,0.169067967,-1.30233735
Robert Martin,Emma,emma.book,,Mr. Martin/Robert Martin,1,1,2,2,2.5,6.5,6.5,5.833333333,4,-1.032564098,1.176828333,0.912662401,1.109566742,-0.289384516
Esther Waters,Esther_Waters,esther_waters.book,,Esther,2,1,1,1,3.5,6,6.5,4.5,2.5,-0.470660681,0.91603197,0.912662401,0.273567831,-1.201042066
Mr. Boldwood,Far from the Madding Crowd,far_from_the_madding_crowd.book,,Boldwood,1,1,1,1,1.5,5,6,1.5,3.5,-1.594467515,0.394439243,0.626270024,-1.607429717,-0.593270366
Fanny Robin,Far from the Madding Crowd,far_from_the_madding_crowd.book,,Fanny,2,2,2,1,1,6.5,2,3.5,2,-1.875419223,1.176828333,-1.66486899,-0.353431352,-1.504927917
Gabriel Oak,Far from the Madding Crowd,far_from_the_madding_crowd.book,,Oak/Gabriel,1,1,1,1,3.625,6,6.875,6.12375,4.625,-0.400422754,0.91603197,1.127456684,1.291657754,0.090472797
Nicholas Sowerby,Framley Parsonage,framley_parsonage.book,,Mr. Sowerby,1,2,1,1,6.5,2.5,2,2.5,5,1.215049568,-0.909542574,-1.66486899,-0.980430534,0.318387185
Elizabeth Lavenza Frankenstein,Frankenstein,frankenstein.book,,Elizabeth,2,1,2,2,3.75,4.5,5.5,2.5,2,-0.330184827,0.13364288,0.339877647,-0.980430534,-1.504927917
Justine Moritz,Frankenstein,frankenstein.book,,Justine,2,1,2,2,2.5,7,4,3,2,-1.032564098,1.437624697,-0.519299483,-0.666930943,-1.504927917
Robert Walton,Frankenstein,frankenstein.book,,Walton,1,1,1,2,6.5,4,4,3.5,6,1.215049568,-0.127153484,-0.519299483,-0.353431352,0.926158885
The Monster,Frankenstein,frankenstein.book,,the monster,1,2,1,2,4.087941176,3.852941176,4.147058824,1.882352941,6.058823529,-0.140294526,-0.203858296,-0.435066431,-1.367694735,0.961910161
Victor Frankenstein,Frankenstein,frankenstein.book,,Victor,1,1,1,2,3.833333333,3.111111111,3.888888889,2.055555556,5.944444444,-0.283359543,-0.590791463,-0.582942234,-1.259096838,0.89239379
Miss Havisham,Great Expectations,great_expectations.book,,Miss Havisham,2,2,1,1,3.221666667,1.832777778,4.333333333,2.5,3.722222222,-0.627057132,-1.257560832,-0.328371232,-0.980430534,-0.458209988
Molly,Great Expectations,great_expectations.book,,Molly,2,1,2,1,4,6.5,6.5,6,4,-0.189708973,1.176828333,0.912662401,1.214066605,-0.289384516
Mr. Jaggers,Great Expectations,great_expectations.book,,Jaggers,1,1,2,1,2.5,1,7,5.75,3.75,-1.032564098,-1.691931664,1.199054778,1.05731681,-0.441327441
Mrs. Georgiana Maria Gargery,Great Expectations,great_expectations.book,,Mrs. Joe,2,1,2,1,6.25,1.25,4.75,1.5,1.25,1.074573714,-1.561533482,-0.089710918,-1.607429717,-1.960756692
Pip (Philip Pirrip),Great Expectations,great_expectations.book,,Pip/Philip/I,1,1,1,1,4,5.111111111,3.944444444,3.777777778,5.055555556,-0.189708973,0.452393991,-0.551120858,-0.179264912,0.352152279
Abel Magwitch (Mr. Provis),Great Expectations,great_expectations.book,,Magwitch/Provis,1,1,2,1,4.5,5,3.5,5,3.5,0.091242735,0.394439243,-0.80569186,0.587067423,-0.593270366
Biddy,Great Expectations,great_expectations.book,,Biddy,2,1,2,1,2.5,7,6.5,6,1,-1.032564098,1.437624697,0.912662401,1.214066605,-2.112699617
Dolge Orlick,Great Expectations,great_expectations.book,,Orlick,1,2,1,1,2,1,1.75,1.25,1.75,-1.313515806,-1.691931664,-1.808065179,-1.764179513,-1.656870842
Estella,Great Expectations,great_expectations.book,,Estella,2,1,1,1,1,1.5,4.5,4,4,-1.875419223,-1.431135301,-0.232907106,-0.03993176,-0.289384516
Herbert Pocket,Great Expectations,great_expectations.book,,Herbert,1,1,2,1,5.5,7,4,7,3.5,0.653146152,1.437624697,-0.519299483,1.841065788,-0.593270366
Joe Gargery,Great Expectations,great_expectations.book,,Joe,1,1,2,1,1.5,7,6,6.833333333,3.166666667,-1.594467515,1.437624697,0.626270024,1.736565924,-0.795860933
John Wemmick,Great Expectations,great_expectations.book,,Wemmick,1,1,2,1,4.5,6.25,4.5,3.7475,7,0.091242735,1.046430152,-0.232907106,-0.198249054,1.533930585
Kate Payton,Griffith Gaunt,griffith_gaunt.book,,Kate,2,1,1,1,6,4,4,3.5,6,0.93409786,-0.127153484,-0.519299483,-0.353431352,0.926158885
Colonel Guy Mannering,Guy Mannering,guy_mannering.book,,Colonel/Mannering,1,1,1,1,4,3.25,7,3.25,6.25,-0.189708973,-0.518348029,1.199054778,-0.510181147,1.07810181
Julia Mannering,Guy Mannering,guy_mannering.book,,Julia/Miss Mannering,2,1,2,1,6.5,4,3.5,4.5,4.75,1.215049568,-0.127153484,-0.80569186,0.273567831,0.166444259
Louisa Gradgrind,Hard Times,hard_times.book,,Louisa,2,1,1,1,2.5,6,5.25,3,6.25,-1.032564098,0.91603197,0.196681459,-0.666930943,1.07810181
Mrs. Sparsit,Hard Times,hard_times.book,,Mrs. Sparsit,2,2,1,1,5,1.25,4.25,4,2.5,0.372194443,-1.561533482,-0.376103295,-0.03993176,-1.201042066
Rachael,Hard Times,hard_times.book,,Rachael,2,2,2,1,2.5,6,6.5,3.5,2.5,-1.032564098,0.91603197,0.912662401,-0.353431352,-1.201042066
Stephen Blackpool,Hard Times,hard_times.book,,Stephen,1,1,1,1,3,6.5,5,4.25,3.5,-0.75161239,1.176828333,0.053485271,0.116818036,-0.593270366
Thomas Gradgrind,Hard Times,hard_times.book,,Mr. Gradgrind/Thomas,1,1,1,1,5,2.666666667,5.833333333,4.833333333,2.833333333,0.372194443,-0.822610453,0.530805899,0.482567559,-0.9984515
Kurtz,Heart of Darkness,heart_of_darkness.book,,Kurtz,1,2,1,1,4.712857143,2.855714286,4.997857143,4.141428571,5.712142857,0.210847891,-0.72400459,0.052257875,0.048743839,0.75120746
Kurtz's fiancee,Heart of Darkness,heart_of_darkness.book,,Intended/the girl,2,1,2,1,2.833333333,4.666666667,5,4.833333333,2.666666667,-0.845262959,0.220575001,0.053485271,0.482567559,-1.099746783
Marlow,Heart of Darkness,heart_of_darkness.book,,I,1,1,1,1,3.222222222,4.583333333,6.277777778,4.805555556,5.638888889,-0.626744964,0.17710894,0.7853769,0.465150915,0.706685771
Russian traveler,Heart of Darkness,heart_of_darkness.book,,Russian,1,2,2,1,7,6.25,3.5,3.75,4.625,1.496001277,1.046430152,-0.80569186,-0.196681556,0.090472797
District Manager,Heart of Darkness,heart_of_darkness.book,,the manager,1,2,1,1,5,1.5,4,3,2,0.372194443,-1.431135301,-0.519299483,-0.666930943,-1.504927917
Leonard Bast,Howards End,howards_end.book,,Leonard,1,1,2,1,2.75,3.833333333,4.083333333,1.833333333,5,-0.892088244,-0.214085605,-0.47156742,-1.398429989,0.318387185
Margaret Schlegel,Howards End,howards_end.book,,Margaret,2,1,1,1,6.333333333,5.5,6.5,4.833333333,5.833333333,1.121398999,0.655235607,0.912662401,0.482567559,0.824863602
Charles Wilcox,Howards End,howards_end.book,,Charles,1,2,1,1,5.5,1,3.5,1.5,1,0.653146152,-1.691931664,-0.80569186,-1.607429717,-2.112699617
Helen Schlegel,Howards End,howards_end.book,,Helen,2,1,2,1,6.5,5,3,2.666666667,6.666666667,1.215049568,0.394439243,-1.092084237,-0.875930671,1.331340018
Henry Wilcox,Howards End,howards_end.book,,Henry,1,1,2,1,2.5,2,7,2.5,2.5,-1.032564098,-1.170338937,1.199054778,-0.980430534,-1.201042066
Jacky Bast,Howards End,howards_end.book,,Jacky,2,2,2,1,5,6,2,2.5,1,0.372194443,0.91603197,-1.66486899,-0.980430534,-2.112699617
Sir Brian de Bois-Guilbert,Ivanhoe ,ivanhoe.book,,Brian/Bois-Guilbert,1,2,1,1,5.5,2,5.5,6,1.5,0.653146152,-1.170338937,0.339877647,1.214066605,-1.808813767
Wilfred of Ivanhoe,Ivanhoe,ivanhoe.book,,Wilfred/Ivanhoe,1,1,1,1,4.4975,4.9975,6.75,5.75,6.25,0.089837977,0.393135261,1.055858589,1.05731681,1.07810181
Maria Temple,Jane Eyre,jane_eyre.book,,Miss Temple,2,1,2,2,4,4,7,7,6.5,-0.189708973,-0.127153484,1.199054778,1.841065788,1.230044735
Mr. Brocklehurst,Jane Eyre,jane_eyre.book,,Mr. Brocklehurst,1,2,1,2,5,1,6.25,4,1.25,0.372194443,-1.691931664,0.769466213,-0.03993176,-1.960756692
Mr. Mason,Jane Eyre,jane_eyre.book,,Richard/Mason,1,2,2,2,2,3.5,7,4,1,-1.313515806,-0.387949847,1.199054778,-0.03993176,-2.112699617
Mrs. Reed,Jane Eyre,jane_eyre.book,,Mrs. Reed/Aunt Reed,2,2,1,2,4.833333333,1.166666667,3.5,1.666666667,1.166666667,0.278543874,-1.604999543,-0.80569186,-1.502929853,-2.011404334
St. John Rivers,Jane Eyre,jane_eyre.book,,St. John/Mr. Rivers,1,1,2,2,3.181363636,2.227272727,6.817727273,4.68,5.135,-0.649703543,-1.051795136,1.094651739,0.386427684,0.400436364
Adele Varens,Jane Eyre,jane_eyre.book,,little Adele,2,1,2,2,7,5.75,2,3.75,4.2475,1.496001277,0.785633788,-1.66486899,-0.196681556,-0.13896102
Grace Poole,Jane Eyre,jane_eyre.book,,Grace/Mrs. Poole,2,1,2,2,1.833333333,2.5,3.166666667,5.166666667,2.166666667,-1.407166376,-0.909542574,-0.996620111,0.691567286,-1.403632633
Helen Burns,Jane Eyre,jane_eyre.book,,Helen,2,1,2,2,1.166666667,6.166666667,5.5,6.833333333,5.666666667,-1.781768654,1.002964091,0.339877647,1.736565924,0.723568318
Bertha Rochester,Jane Eyre,jane_eyre.book,,Bertha,2,2,1,2,3.642857143,2.714285714,2.357142857,1.5,3.714285714,-0.390388765,-0.797772704,-1.460303007,-1.607429717,-0.463033573
Blanche Ingram,Jane Eyre,jane_eyre.book,,Blanche/Miss Ingram,2,2,2,2,6.75,1.75,5,5.5,2,1.355525423,-1.300737119,0.053485271,0.900567014,-1.504927917
Edward Rochester,Jane Eyre,jane_eyre.book,,Rochester/Edward,1,1,2,2,4.157142857,3.071428571,5.042285714,3.657142857,5.814285714,-0.101409865,-0.611489587,0.077705883,-0.254902909,0.813286998
Jane Eyre,Jane Eyre,jane_eyre.book,,I/Jane,2,1,1,2,2.301470588,5.147058824,6.610220588,4.669117647,5.801397059,-1.144118453,0.471144056,0.975795074,0.379604458,0.805453638
Little Father Time,Jude the Obscure,jude_the_obscure.book,,Father Time,1,1,2,1,2,4.25,4.75,1.75,4.25,-1.313515806,0.003244698,-0.089710918,-1.450679921,-0.137441591
Richard Phillotson,Jude the Obscure,jude_the_obscure.book,,Richard/Phillotson,1,1,2,1,3,6,6.5,7,1,-0.75161239,0.91603197,0.912662401,1.841065788,-2.112699617
Sue Bridehead,Jude the Obscure,jude_the_obscure.book,,Sue,2,1,2,1,5.333333333,4.166666667,3,1.5,6.166666667,0.559495582,-0.040221363,-1.092084237,-1.607429717,1.027454168
Arabella Donn,Jude the Obscure,jude_the_obscure.book,,Arabella,2,2,1,1,6.75,4.5,1.5,4.5,5.25,1.355525423,0.13364288,-1.951261367,0.273567831,0.47033011
Drusilla Fawley,Jude the Obscure,jude_the_obscure.book,,Miss Drusilla Fawley,2,1,2,1,3.5,7,7,7,1,-0.470660681,1.437624697,1.199054778,1.841065788,-2.112699617
Jude Fawley,Jude the Obscure,jude_the_obscure.book,,Jude,1,1,1,1,3.166666667,5.055555556,5.722222222,3.277777778,6,-0.65796182,0.423416617,0.467163148,-0.492764503,0.926158885
Alan Breck Stewart (Mr. Thomson),Kidnapped ,kidnapped.book,,Alan/Mr. Thomas,1,1,2,1,6.5,4,3,3,5.5,1.215049568,-0.127153484,-1.092084237,-0.666930943,0.622273035
Ebenezer Balfour,Kidnapped,kidnapped.book,,Ebenezer,1,2,1,1,4,1.5,4,4,3,-0.189708973,-1.431135301,-0.519299483,-0.03993176,-0.897156216
Kimball (Kim) O'Hara,Kim ,kim.book,,Kim,1,1,1,1,5.5,6.5,6,6,6.75,0.653146152,1.176828333,0.626270024,1.214066605,1.38198766
The Red Lama,Kim ,kim.book,,lama,1,1,2,1,2,6.5,4.5,6.5,5.5,-1.313515806,1.176828333,-0.232907106,1.527566197,0.622273035
Sir Henry Curtis,King Solomon's Mines ,king_solomons_mines.book,,Henry/Curtis/HENRY,1,1,2,1,5.5,6,6.5,6,5.5,0.653146152,0.91603197,0.912662401,1.214066605,0.622273035
Umbopa,King Solomon's Mines,king_solomons_mines.book,,Umbopa,1,1,2,1,5,5,6.5,5,5.5,0.372194443,0.394439243,0.912662401,0.587067423,0.622273035
Allan Quatermain,King Solomon's Mines,king_solomons_mines.book,,Allan/Quatermain/ALLAN,1,1,1,1,5.666666667,4.666666667,7,5.166666667,6.166666667,0.746796721,0.220575001,1.199054778,0.691567286,1.027454168
Gagool,King Solomon's Mines,king_solomons_mines.book,,Gagool,2,2,1,1,4.5,1,5.5,3,2.75,0.091242735,-1.691931664,0.339877647,-0.666930943,-1.049099141
Lucy Graham,Lady Audley's Secret,lady_audleys_secret.book,,Lucy/Graham,2,2,1,2,5.681818182,2.590909091,4.318181818,2.636363636,5.454545455,0.755310409,-0.862125053,-0.337049789,-0.894930646,0.594647048
Robert Audley,Lady Audley's Secret,lady_audleys_secret.book,,Robert/ Mr. Audley/ROBERT AUDLEY/Mr. Robert/MR. AUDLEY,1,1,1,2,2,5,2,6,1.5,-1.313515806,0.394439243,-1.66486899,1.214066605,-1.808813767
George Talboys,Lady Audley's Secret,lady_audleys_secret.book,,George/Mr. Talboys/Mr. George,1,1,1,2,1.5,5.5,1,3,1.5,-1.594467515,0.655235607,-2.237653744,-0.666930943,-1.808813767
Mr. Vane,Lilith: A Romance ,lilith.book,,Mr. Vane/I,1,1,1,1,6,4.5,6.5,6,5.5,0.93409786,0.13364288,0.912662401,1.214066605,0.622273035
Mrs. Flora Finching,Little Dorritt ,little_dorrit.book,,Flora,2,1,2,1,7,3.5,1,2.5,1,1.496001277,-0.387949847,-2.237653744,-0.980430534,-2.112699617
William Dorrit,Little Dorritt,little_dorrit.book,,William,1,1,2,1,6,1.5,1,1.5,2.5,0.93409786,-1.431135301,-2.237653744,-1.607429717,-1.201042066
Arthur Clennam,Little Dorritt,little_dorrit.book,,Arthur/Mr Clennam,1,1,1,1,1,6.5,7,5.5,5.5,-1.875419223,1.176828333,1.199054778,0.900567014,0.622273035
Harriet Beadle (Tattycoram),Little Dorritt,little_dorrit.book,,Harriet/Beadle/Tattycoram,2,1,2,1,3.5,3,3,2,6,-0.470660681,-0.64874621,-1.092084237,-1.293930126,0.926158885
Lord Dorincourt,Little Lord Fauntleroy,little_lord_fauntleroy.book,,Earl/Dorincourt,1,1,2,2,2,1,6.5,3,4.5,-1.313515806,-1.691931664,0.912662401,-0.666930943,0.014501334
Mrs. Errol,Little Lord Fauntleroy,little_lord_fauntleroy.book,,Mrs. Errol/Dearest,2,1,2,2,3,7,5,4,3,-0.75161239,1.437624697,0.053485271,-0.03993176,-0.897156216
Jim,Lord Jim ,lord_jim.book,,Jim,1,1,1,1,1.75,5,4,2.75,5.75,-1.453991661,0.394439243,-0.519299483,-0.823680739,0.77421596
Lady Bertram,Mansfield Park,mansfield_park.book,,Lady,2,2,1,2,5.5,2.5,5.5,3,3.5,0.653146152,-0.909542574,0.339877647,-0.666930943,-0.593270366
Maria Crawford,Mansfield Park,mansfield_park.book,,Maria,2,2,1,2,6.833333333,3.666666667,2.5,4.166666667,5,1.402350707,-0.301017726,-1.378476614,0.064568104,0.318387185
Mrs. Norris,Mansfield Park,mansfield_park.book,,Mrs. Norris,2,2,1,2,6.142857143,1,4.999285714,3,2.785714286,1.014369777,-1.691931664,0.053076139,-0.666930943,-1.027393009
Sir Thomas Bertram,Mansfield Park,mansfield_park.book,,Thomas,1,2,1,2,1.5,1.5,4.5,2.5,1.5,-1.594467515,-1.431135301,-0.232907106,-0.980430534,-1.808813767
Edmund Bertram,Mansfield Park,mansfield_park.book,,Edmund,1,1,2,2,2.75,6.25,5.5,5,4.5,-0.892088244,1.046430152,0.339877647,0.587067423,0.014501334
Fanny Price,Mansfield Park,mansfield_park.book,,Fanny,2,1,1,2,1.333055556,5.443888889,6.5275,3.221666667,3.610555556,-1.688274169,0.625968459,0.928413982,-0.527946124,-0.526077828
Mary Douglas,Marriage,(hard to find),,-,2,1,1,2,2,7,6.5,4.5,3,-1.313515806,1.437624697,0.912662401,0.273567831,-0.897156216
Sairey Gamp,Martin Chuzzlewit,martin_chuzzlewit.book,,Sarah/Sairey/Mrs Gamp,2,2,2,1,7,3.5,5,2.5,5.5,1.496001277,-0.387949847,0.053485271,-0.980430534,0.622273035
Mary Barton,Mary Barton ,mary_barton.book,,Mary,2,1,1,2,4.4,5.399,4.9,3.6,4.9,0.035052393,0.602554741,-0.003793205,-0.290731433,0.257610015
Jem Wilson,Mary Barton,mary_barton.book,,Jem,1,1,2,2,2,6,5.5,5.5,2.5,-1.313515806,0.91603197,0.339877647,0.900567014,-1.201042066
John Barton,Mary Barton,mary_barton.book,,John Barton,1,1,1,2,3.5,2.5,3.5,2,4.5,-0.470660681,-0.909542574,-0.80569186,-1.293930126,0.014501334
Dorothea Brooke,Middlemarch,middlemarch.book,,Dorothea,2,1,1,2,3.775,5.84975,6.225,4.375,6.19975,-0.316137242,0.837662663,0.755146594,0.195192933,1.047561282
Dr. Tertius Lydgate,Middlemarch,middlemarch.book,,Tertius/Lydgate,1,1,1,2,4.7,5.1,5.6,4.6,5.7,0.203623418,0.446598516,0.397156123,0.336267749,0.743827375
Fred Vincy,Middlemarch,middlemarch.book,,Fred,1,1,2,2,6,5.5,1,3,5.5,0.93409786,0.655235607,-2.237653744,-0.666930943,0.622273035
Mary Garth,Middlemarch,middlemarch.book,,Mary,2,1,2,2,4,5.5,6,6,2.5,-0.189708973,0.655235607,0.626270024,1.214066605,-1.201042066
Mrs. Elinor Cadwallader,Middlemarch,middlemarch.book,,Elinor/Mrs Cadwallader,2,1,1,2,6.5,4.5,5.5,5.5,2.5,1.215049568,0.13364288,0.339877647,0.900567014,-1.201042066
Rosamond Vincy Lydgate,Middlemarch,middlemarch.book,,Rosamond,2,1,1,2,4.785714286,2.071428571,4.428571429,3.928571429,3.142857143,0.251786568,-1.133082314,-0.273820303,-0.084717416,-0.810331688
Margaret Mackenzie,Miss Mackenzie,miss_mackenzie.book,,Margaret/Miss Mackenzie,2,1,1,1,2.5,6.2475,6.2475,5,3.9975,-1.032564098,1.04512617,0.768034251,0.587067423,-0.290903945
Reverend Jeremiah Maguire,Miss Mackenzie,miss_mackenzie.book,,Mr Maguire/Jeremiah,1,2,1,1,3.5,1,5.5,3,2.5,-0.470660681,-1.691931664,0.339877647,-0.666930943,-1.201042066
Lucilla Marjoribanks,Miss Marjoribanks,miss_marjoribanks.book,,Lucilla/Miss Marjoribanks,2,1,1,2,6.5,6,6.5,6.5,7,1.215049568,0.91603197,0.912662401,1.527566197,1.533930585
Edwin Reardon,New_Grub_Street,new_grub_street.book,,Edwin,1,1,1,1,1.375,6,7,1.375,5,-1.664705442,0.91603197,1.199054778,-1.685804615,0.318387185
"Wackford Squeers, Jr.",Nicholas Nickelby,nicholas_nickelby.book,,Nicholas,1,2,1,1,4.5,1,3,4,2.5,0.091242735,-1.691931664,-1.092084237,-0.03993176,-1.201042066
Margaret Hale,North and South,north_and_south.book,,Margaret/Miss Hale,2,1,1,2,4.1,6,6.3,5.5,6.3,-0.133518632,0.91603197,0.79810545,0.900567014,1.108490395
Nicholas Higgins,North and South,north_and_south.book,,Mr. Higgins/Nicholas,1,1,2,2,6.5,3.5,6.5,4.5,5,1.215049568,-0.387949847,0.912662401,0.273567831,0.318387185
John Thornton,North and South,north_and_south.book,,Mr. Thornton,1,1,2,2,2.166666667,4.333333333,7,4.498333333,5.333333333,-1.219865237,0.046710759,1.199054778,0.272522833,0.520977751
Captain Frederick Tilney,Northanger Abbey,northanger_abbey.book,,Frederick/Captain Tilney,1,2,2,2,4.5,3,6.5,7,5,0.091242735,-0.64874621,0.912662401,1.841065788,0.318387185
Catherine Morland,Northanger Abbey,northanger_abbey.book,,Catherine,2,1,1,2,5.35,5.9995,4.4,3.5,5.35,0.568860639,0.915771174,-0.290185582,-0.353431352,0.53110728
Eleanor Tilney,Northanger Abbey,northanger_abbey.book,,Eleanor,2,1,2,2,3.5,5,6.5,5,4.5,-0.470660681,0.394439243,0.912662401,0.587067423,0.014501334
Henry Tilney,Northanger Abbey,northanger_abbey.book,,Henry,1,1,2,2,5.25,6.25,6.5,6.25,5.5,0.512670298,1.046430152,0.912662401,1.370816401,0.622273035
Isabella Thorpe,Northanger Abbey,northanger_abbey.book,,Isabella,2,2,2,2,6.125,2.25,2.75,3,4.5,1.004335787,-1.039940756,-1.235280425,-0.666930943,0.014501334
Nostromo (Giovanni Battista Fidanza),Nostromo,nostromo.book,,Nostromo,1,1,1,1,6,5,7,7,6,0.93409786,0.394439243,1.199054778,1.841065788,0.926158885
Oliver Twist,Oliver Twist,oliver_twist.book,,Oliver,1,1,1,1,4.995,4.995,3.995,4.745,4.995,0.369384926,0.391831279,-0.522163407,0.427182631,0.315348326
Bill Sikes,Oliver Twist,oliver_twist.book,,Bill ,1,2,1,1,4.75,1.5,3.5,2.25,3.5,0.231718589,-1.431135301,-0.80569186,-1.13718033,-0.593270366
Fagin,Oliver Twist,oliver_twist.book,,Fagin,1,2,1,1,6.5,2,5,1.5,5.5,1.215049568,-1.170338937,0.053485271,-1.607429717,0.622273035
Sir Peregrine Orme,Orley Farm,orley_farm.book,,Sir Peregrine,1,1,2,1,4,4.5,6.5,4.5,2.5,-0.189708973,0.13364288,0.912662401,0.273567831,-1.201042066
Mr. Venus,Our Mutual Friend,our_mutual_friend.book,,Mr Venus,1,2,2,1,2,5,4.5,3.5,5.75,-1.313515806,0.394439243,-0.232907106,-0.353431352,0.77421596
Mrs. Wilfer (Bella Wilfer's mother),Our Mutual Friend,our_mutual_friend.book,,Mrs Wilfer,2,1,2,1,5,1,6.5,3,3,0.372194443,-1.691931664,0.912662401,-0.666930943,-0.897156216
Silas Wegg,Our Mutual Friend,our_mutual_friend.book,,Silas/Wegg,1,2,1,1,5.333333333,1.666666667,5.166666667,2.833333333,4.666666667,0.559495582,-1.34420318,0.148949396,-0.771430807,0.115796618
Sophronia Lammle,Our Mutual Friend,our_mutual_friend.book,,Sophronia/Mrs Lammle,2,2,2,1,6.5,2,6,5,5,1.215049568,-1.170338937,0.626270024,0.587067423,0.318387185
Bradley Headstone,Our Mutual Friend,our_mutual_friend.book,,Bradley/Mr Headstone,1,2,1,1,1.25,1.75,6.25,1.75,2.25,-1.734943369,-1.300737119,0.769466213,-1.450679921,-1.352984991
John Harmon (Julius Handford),Our Mutual Friend,our_mutual_friend.book,,John Harmon/Rokesmith/Julius Handford,1,1,1,1,3.5,4.25,7,4.5,4.75,-0.470660681,0.003244698,1.199054778,0.273567831,0.166444259
Henry Pelham,Pelham,pelham.book,,I,1,1,1,1,5.5,4,5.5,5,5,0.653146152,-0.127153484,0.339877647,0.587067423,0.318387185
Admiral Croft,Persuasion,persuasion.book,,Admiral,1,1,2,2,7,7,5.75,6.25,4.5,1.496001277,1.437624697,0.483073836,1.370816401,0.014501334
Anne Elliot,Persuasion,persuasion.book,,Anne,2,1,1,2,1.863484848,6.620909091,6.696818182,5.211969697,5.075151515,-1.390224137,1.239893636,1.025396855,0.719972249,0.364062149
Captain Benwick,Persuasion,persuasion.book,,Benwick/James,1,1,2,2,1,7,4,2,4.75,-1.875419223,1.437624697,-0.519299483,-1.293930126,0.166444259
Captain Wentworth,Persuasion,persuasion.book,,Wentworth/a Captain Frederick Wentworth,1,1,1,2,4.1875,5.561875,6.436875,5.186875,5.5,-0.084352083,0.687509156,0.876505363,0.704237895,0.622273035
Lady Russell,Persuasion,persuasion.book,,Lady,2,1,2,2,2,4,7,5.5,1.5,-1.313515806,-0.127153484,1.199054778,0.900567014,-1.808813767
Mrs. Clay,Persuasion,persuasion.book,,Mrs Clay,2,2,1,2,7,3.5,7,6.5,6.5,1.496001277,-0.387949847,1.199054778,1.527566197,1.230044735
Mrs. Croft,Persuasion,persuasion.book,,Mrs Croft,2,1,2,2,4.5,5,6.5,6,5.5,0.091242735,0.394439243,0.912662401,1.214066605,0.622273035
Sir Walter Elliot,Persuasion,persuasion.book,,the Sir Walter Elliot/Walter,1,2,1,2,6.5,2,3.5,3,1,1.215049568,-1.170338937,-0.80569186,-0.666930943,-2.112699617
William Elliot,Persuasion,persuasion.book,,William Walter/Mr Elliot,1,2,1,2,7,2,1,3.5,5,1.496001277,-1.170338937,-2.237653744,-0.353431352,0.318387185
The Beech Tree,Phantastes: A Faerie Romance for Men and Women,phantastes.book,,beech/Beech,2,1,2,1,1.5,7,2.5,2,4,-1.594467515,1.437624697,-1.378476614,-1.293930126,-0.289384516
Madame Marie Max Goesler,Phineas Finn ,phineas_finn.book,,Marie/Madame Max Goesler/Madame Goesler,2,1,2,1,4,5,6,5.5,6.5,-0.189708973,0.394439243,0.626270024,0.900567014,1.230044735
Phineas Finn,Phineas Finn,phineas_finn.book,,Phineas/Mr. Finn,1,1,1,1,4.5,6.5,7,5.5,6,0.091242735,1.176828333,1.199054778,0.900567014,0.926158885
Madame Merle,Portrait of a Lady,the_portrait_of_a_lady.book,,Madame Merle,2,2,1,1,4,3.5,7,2.5,4.5,-0.189708973,-0.387949847,1.199054778,-0.980430534,0.014501334
Isabel Archer,Portrait of a Lady,the_portrait_of_a_lady.book,,Isabel/Miss Archer,2,1,1,1,5.1,4.25,4.9495,4.3495,5.7,0.428384785,0.003244698,0.02455964,0.179204454,0.743827375
Lady Catherine de Bourgh,Pride and Prejudice,pride_and_prejudice.book,,Lady Catherine/Catherine/her ladyship/Lady,2,2,1,2,3.5,1,5.25,2.75,3,-0.470660681,-1.691931664,0.196681459,-0.823680739,-0.897156216
Lydia Bennet,Pride and Prejudice,pride_and_prejudice.book,,Lydia,2,1,2,2,6.75,1.833333333,2.249166667,2.583333333,4.75,1.355525423,-1.257271058,-1.522150123,-0.928180602,0.166444259
Mr. Bennet,Pride and Prejudice,pride_and_prejudice.book,,Mr. Bennet,1,1,2,2,2.857142857,4.428571429,4.714285714,5.071428571,3.428571429,-0.831884306,0.096386256,-0.110167516,0.631853079,-0.63668263
Mr. Bingley,Pride and Prejudice,pride_and_prejudice.book,,Mr. Bingley,1,1,2,2,6.25,7,5.25,5.75,4,1.074573714,1.437624697,0.196681459,1.05731681,-0.289384516
Mr. Wickham,Pride and Prejudice,pride_and_prejudice.book,,Wickham,1,2,1,2,7,6,2.5,5.5,6.5,1.496001277,0.91603197,-1.378476614,0.900567014,1.230044735
