chrname,book,book.id,book.json,names in book,chrsex,valence,salience,authrsex,ae,aa,ac,as,ao,zae,zaa,zac,zas,zao
Clare Hyacinth Kirkpatrick Gibson,Wives and Daughters,wives_and_daughters.book,,Clare,2,2,1,2,5.5,2,4,3,2.5,0.653146152,-1.170338937,-0.519299483,-0.666930943,-1.201042066
Cynthia Kirkpatrick,Wives and Daughters,wives_and_daughters.book,,Cynthia,2,1,1,2,5.5,4.5,2.5,4,6.75,0.653146152,0.13364288,-1.378476614,-0.03993176,1.38198766
Linton Heathcliff,Wuthering Heights ,wuthering_heights.book,,Linton,1,2,2,2,2.5,1,2.5,1,3.5,-1.032564098,-1.691931664,-1.378476614,-1.920929308,-0.593270366
Mr. Lockwood,Wuthering Heights,wuthering_heights.book,,Mr. Lockwood,1,1,1,2,4.333333333,3.5,4,4.5,4,-0.002407834,-0.387949847,-0.519299483,0.273567831,-0.289384516
Catherine Earnshaw (later Linton),Wuthering Heights,wuthering_heights.book,,Catherine,2,1,1,2,6.368421053,2.973684211,3.052368421,2.447368421,6.026315789,1.141114908,-0.662472335,-1.062088404,-1.013430491,0.942152877
Cathy Linton,Wuthering Heights,wuthering_heights.book,,Cathy,2,1,1,2,1.5,7,4,4.5,4,-1.594467515,1.437624697,-0.519299483,0.273567831,-0.289384516
Edgar Linton,Wuthering Heights,wuthering_heights.book,,Edgar,1,1,2,2,1.5,3.5,7,4,3.5,-1.594467515,-0.387949847,1.199054778,-0.03993176,-0.593270366
Ellen Dean (Nelly Dean),Wuthering Heights,wuthering_heights.book,,Nelly/I,2,1,2,2,3.333333333,5.5,6,6.5,4.333333333,-0.564311251,0.655235607,0.626270024,1.527566197,-0.086793949
Hareton Earnshaw,Wuthering Heights,wuthering_heights.book,,Hareton/Mr. Hareton,1,1,1,2,4,2.25,3,2.5,3.75,-0.189708973,-1.039940756,-1.092084237,-0.980430534,-0.441327441
Heathcliff,Wuthering Heights,wuthering_heights.book,,Mr. Heathcliff,1,1,1,2,2.769038462,1.75,5.096153846,2.442307692,5.076923077,-0.881390467,-1.300737119,0.108560728,-1.016603564,0.365138854
Isabella Linton,Wuthering Heights,wuthering_heights.book,,Isabell/Miss Linton,2,1,2,2,6,4,3.5,2.5,2.5,0.93409786,-0.127153484,-0.80569186,-0.980430534,-1.201042066
Joseph,Wuthering Heights,wuthering_heights.book,,Joseph,1,2,1,2,3.25,1,5.75,4.25,2,-0.611136536,-1.691931664,0.483073836,0.116818036,-1.504927917
