chrname,book,chrsex,valence,salience,authrsex,ae,aa,ac,as,ao,zae,zaa,zac,zas,zao
Jane Bennet,pride_and_prejudice,2,1,2,2,3.111111111,6.888888889,6.111111111,4.555555556,2.944444444,-0.689178677,1.379669949,0.689912775,0.308401119,-0.930921311
JaneEyre,,2,1,1,2,2.301470588,5.147058824,6.610220588,4.669117647,5.801397059,-1.144118453,0.471144056,0.975795074,0.379604458,0.805453638
JaneFairfax,Emma,2,1,2,2,1.05,5.45,6.75,3.95,4.7,-1.847324052,0.62915597,1.055858589,-0.071281719,0.136055674
JarvisLorry,,1,1,2,1,3,6,7,7,3.5,-0.75161239,0.91603197,1.199054778,1.841065788,-0.593270366
JeanieDeans,,2,1,1,1,2.5,7,7,3,6,-1.032564098,1.437624697,1.199054778,-0.666930943,0.926158885
JemWilson,,1,1,2,2,2,6,5.5,5.5,2.5,-1.313515806,0.91603197,0.339877647,0.900567014,-1.201042066
Jim,,1,1,1,1,1.75,5,4,2.75,5.75,-1.453991661,0.394439243,-0.519299483,-0.823680739,0.77421596
JimHawkins,,1,1,1,1,4.25,6,5.25,3.75,5.5,-0.049233119,0.91603197,0.196681459,-0.196681556,0.622273035
Jo,,1,,,1,2.75,6,6.25,3.75,5.25,-0.892088244,0.91603197,0.769466213,-0.196681556,0.47033011
JoeGargery,,1,1,2,1,1.5,7,6,6.833333333,3.166666667,-1.594467515,1.437624697,0.626270024,1.736565924,-0.795860933
JohnBarton,,1,,,2,3.5,2.5,3.5,2,4.5,-0.470660681,-0.909542574,-0.80569186,-1.293930126,0.014501334
JohnChester,,1,2,1,1,3,2,7,7,5,-0.75161239,-1.170338937,1.199054778,1.841065788,0.318387185
JohnDashwood,,1,2,1,2,3,1.5,5.5,4,2,-0.75161239,-1.431135301,0.339877647,-0.03993176,-1.504927917
JohnGrey,,1,1,2,1,4.495,6.5,7,7,1,0.088433218,1.176828333,1.199054778,1.841065788,-2.112699617
JohnHarmon(alsoknownasJuliusHandfordand,,1,1,1,1,3.5,4.25,7,4.5,4.75,-0.470660681,0.003244698,1.199054778,0.273567831,0.166444259
JohnJarndyce,,1,1,2,1,3.5,6.833333333,5.666666667,4,4.833333333,-0.470660681,1.350692576,0.435341773,-0.03993176,0.217091901
JohnKnightley,,1,1,2,2,2,2.5,6,2.5,2,-1.313515806,-0.909542574,0.626270024,-0.980430534,-1.504927917
JohnThornton,,1,1,2,2,2.166666667,4.333333333,7,4.498333333,5.333333333,-1.219865237,0.046710759,1.199054778,0.272522833,0.520977751
JohnWemmick,,1,1,2,1,4.5,6.25,4.5,3.7475,7,0.091242735,1.046430152,-0.232907106,-0.198249054,1.533930585
JohnWilloughby,,1,,,2,7,4.75,1.25,3.75,6.5,1.496001277,0.264041061,-2.094457556,-0.196681556,1.230044735
JonathanHarker,,1,,,1,6,6.5,6.5,3.125,5.375,0.93409786,1.176828333,0.912662401,-0.588556045,0.546301572
Joseph,,1,,,2,3.25,1,5.75,4.25,2,-0.611136536,-1.691931664,0.483073836,0.116818036,-1.504927917
JudeFawley,,1,1,1,1,3.166666667,5.055555556,5.722222222,3.277777778,6,-0.65796182,0.423416617,0.467163148,-0.492764503,0.926158885
JuliaMannering,,2,1,2,1,6.5,4,3.5,4.5,4.75,1.215049568,-0.127153484,-0.80569186,0.273567831,0.166444259
JuneForsyte,,2,1,2,1,4.5,7,6,5.5,6,0.091242735,1.437624697,0.626270024,0.900567014,0.926158885
JustineMoritz,,2,,,2,2.5,7,4,3,2,-1.032564098,1.437624697,-0.519299483,-0.666930943,-1.504927917
KateCroy,,2,,,1,4.5,3.75,7,5.5,6.5,0.091242735,-0.257551665,1.199054778,0.900567014,1.230044735
KatePayton,,2,1,1,1,6,4,4,3.5,6,0.93409786,-0.127153484,-0.519299483,-0.353431352,0.926158885
Kimball(Kim)O?ara,,1,1,1,1,5.5,6.5,6,6,6.75,0.653146152,1.176828333,0.626270024,1.214066605,1.38198766
Kurtz,,1,2,1,1,4.712857143,2.855714286,4.997857143,4.141428571,5.712142857,0.210847891,-0.72400459,0.052257875,0.048743839,0.75120746
Kurtz?fianc?,,2,,,1,2.833333333,4.666666667,5,4.833333333,2.666666667,-0.845262959,0.220575001,0.053485271,0.482567559,-1.099746783
LadyBertram,,2,2,1,2,5.5,2.5,5.5,3,3.5,0.653146152,-0.909542574,0.339877647,-0.666930943,-0.593270366
LadyCarbury,,2,1,2,1,6.25,3,4.5,2.5,4.25,1.074573714,-0.64874621,-0.232907106,-0.980430534,-0.137441591
LadyCatherinedeBourgh,pride_and_prejudice,2,2,1,2,3.5,1,5.25,2.75,3,-0.470660681,-1.691931664,0.196681459,-0.823680739,-0.897156216
LadyDelacour,,2,1,2,2,7,2,7,3.5,7,1.496001277,-1.170338937,1.199054778,-0.353431352,1.533930585
LadyGlencoraMcCluskie,,2,1,1,1,6.5,4.5,3.5,2.75,3,1.215049568,0.13364288,-0.80569186,-0.823680739,-0.897156216
LadyHonoriaDedlock,,2,1,2,1,1.333333333,5,6.333333333,5.5,4,-1.688118084,0.394439243,0.817198275,0.900567014,-0.289384516
LadyRussell,,2,1,2,2,2,4,7,5.5,1.5,-1.313515806,-0.127153484,1.199054778,0.900567014,-1.808813767
LadyVerinder,,2,1,1,1,5.5,4,5.5,6.5,5,0.653146152,-0.127153484,0.339877647,1.527566197,0.318387185
LambertStrether,,1,1,1,1,1.5,6.5,5.5,6.5,7,-1.594467515,1.176828333,0.339877647,1.527566197,1.533930585
LaSignoraMadelineVeseyNeroni,,2,2,1,1,6.75,2.5,4.5,5.25,6.5,1.355525423,-0.909542574,-0.232907106,0.743817218,1.230044735
LauraEdmonstone,,2,2,2,2,3.495,3,2.5,2,4.5,-0.473470199,-0.64874621,-1.378476614,-1.293930126,0.014501334
LauraFairlie,,2,1,2,1,1,5.5,2.5,1,1,-1.875419223,0.655235607,-1.378476614,-1.920929308,-2.112699617
LeonardBast,,1,1,2,1,2.75,3.833333333,4.083333333,1.833333333,5,-0.892088244,-0.214085605,-0.47156742,-1.398429989,0.318387185
LiliaHerriton,,2,1,1,1,6.25,6.25,1,3.25,7,1.074573714,1.046430152,-2.237653744,-0.510181147,1.533930585
Lilian(Lily)Dale,,2,1,1,1,6.5,6.75,7,6,6,1.215049568,1.307226515,1.199054778,1.214066605,0.926158885
LintonHeathcliff,,1,2,2,2,2.5,1,2.5,1,3.5,-1.032564098,-1.691931664,-1.378476614,-1.920929308,-0.593270366
LittleFatherTime,,1,1,2,1,2,4.25,4.75,1.75,4.25,-1.313515806,0.003244698,-0.089710918,-1.450679921,-0.137441591
LittleNell?grandfather,,1,,,1,4,1.5,1,1,1.5,-0.189708973,-1.431135301,-2.237653744,-1.920929308,-1.808813767
LizzieEustace,,2,,,1,7,1.5,3.25,2.25,4.75,1.496001277,-1.431135301,-0.948888048,-1.13718033,0.166444259
LongJohnSilver,,1,2,1,1,5.8,2.7,4.5,3.5,4.9,0.821717177,-0.805224028,-0.232907106,-0.353431352,0.257610015
LordDorincourt,,1,1,2,2,2,1,6.5,3,4.5,-1.313515806,-1.691931664,0.912662401,-0.666930943,0.014501334
LordHenryWotton,,1,1,2,1,6.357142857,2.142857143,5.142857143,5.928571429,6.285714286,1.134777652,-1.095825691,0.135311664,1.169280949,1.099807942
LordJohnRoxton,,1,1,2,1,4.5,4.5,4.5,4.5,4,0.091242735,0.13364288,-0.232907106,0.273567831,-0.289384516
LottieLegh,,2,1,2,2,5,3,2.5,2,4.5,0.372194443,-0.64874621,-1.378476614,-1.293930126,0.014501334
LouisaGradgrind,,2,,,1,2.5,6,5.25,3,6.25,-1.032564098,0.91603197,0.196681459,-0.666930943,1.07810181
LucieManette,,2,,,1,3,6.75,6.5,3.25,2.25,-0.75161239,1.307226515,0.912662401,-0.510181147,-1.352984991
LucillaMarjoribanks,,2,1,1,2,6.5,6,6.5,6.5,7,1.215049568,0.91603197,0.912662401,1.527566197,1.533930585
LucyGraham(a,,2,,,2,5.681818182,2.590909091,4.318181818,2.636363636,5.454545455,0.755310409,-0.862125053,-0.337049789,-0.894930646,0.594647048
LucyHoneychurch,,2,1,1,1,5.8125,5.125,4.125,3.8125,6.375,0.82874097,0.459638334,-0.447701389,-0.157494107,1.154073273
LucySnowe,villette,2,1,1,2,1.333333333,3.880952381,6.523809524,3.380952381,5.714285714,-1.688118084,-0.189247856,0.926300133,-0.428074111,0.752509828
LucySteele,sense_and_sensibilities.book,2,1,2,2,4.5,4,4.5,4.5,3.5,0.091242735,-0.127153484,-0.232907106,0.273567831,-0.593270366
LucyWestenra,,2,1,2,1,6.833333333,4.666666667,2.666666667,3.666666667,6.333333333,1.402350707,0.220575001,-1.283012488,-0.248931488,1.128749452
LudwigHoraceHolly,,1,1,1,1,2,2.5,6,3.5,4,-1.313515806,-0.909542574,0.626270024,-0.353431352,-0.289384516
LydiaBennet,pride_and_prejudice,2,1,2,2,6.75,1.833333333,2.249166667,2.583333333,4.75,1.355525423,-1.257271058,-1.522150123,-0.928180602,0.166444259
LydiaGwilt,,2,2,1,1,5.166666667,2.666666667,6.166666667,3.333333333,6.166666667,0.465845013,-0.822610453,0.72173415,-0.457931215,1.027454168
MadameBeck,,2,2,1,2,4,1.5,6.5,6.5,4.5,-0.189708973,-1.431135301,0.912662401,1.527566197,0.014501334
MadameMarieMaxGoesler,,2,1,2,1,4,5,6,5.5,6.5,-0.189708973,0.394439243,0.626270024,0.900567014,1.230044735
MadameMerle,,2,2,1,1,4,3.5,7,2.5,4.5,-0.189708973,-0.387949847,1.199054778,-0.980430534,0.014501334
MadameTh??eDefarge,,2,2,1,1,5,1,4.75,2.25,3.75,0.372194443,-1.691931664,-0.089710918,-1.13718033,-0.441327441
MaggieTulliver,,2,1,1,2,4.5,5.666666667,4.5,2.5,6.166666667,0.091242735,0.742167728,-0.232907106,-0.980430534,1.027454168
MaggieVerver,,2,1,1,1,4,6.25,5.5,4.75,4,-0.189708973,1.046430152,0.339877647,0.430317627,-0.289384516
MaisieFarange,,2,1,1,1,2.833333333,6,5.833333333,5.166666667,5.333333333,-0.845262959,0.91603197,0.530805899,0.691567286,0.520977751
MargaretHale,,2,1,1,2,4.1,6,6.3,5.5,6.3,-0.133518632,0.91603197,0.79810545,0.900567014,1.108490395
MargaretMackenzie,,2,1,1,1,2.5,6.2475,6.2475,5,3.9975,-1.032564098,1.04512617,0.768034251,0.587067423,-0.290903945
MargaretSchlegel,,2,1,1,1,6.333333333,5.5,6.5,4.833333333,5.833333333,1.121398999,0.655235607,0.912662401,0.482567559,0.824863602
MariaCrawford,mansfield_park,2,2,1,2,6.833333333,3.666666667,2.5,4.166666667,5,1.402350707,-0.301017726,-1.378476614,0.064568104,0.318387185
MariaGostrey,,2,1,2,1,3.5,7,7,7,7,-0.470660681,1.437624697,1.199054778,1.841065788,1.533930585
MariaMinchin,,2,2,1,2,5,1.166666667,4.666666667,3,2.166666667,0.372194443,-1.604999543,-0.137442981,-0.666930943,-1.403632633
MarianHalcombe,,2,1,1,1,6.166666667,5.75,6.583333333,6.416666667,6.333333333,1.02774843,0.785633788,0.960394464,1.475316265,1.128749452
MarianneDashwood,sense_and_sensibilities.book,2,1,1,2,6.75,4.125,1.6875,2.06125,7,1.355525423,-0.061954393,-1.843864226,-1.255526426,1.533930585
MariaTemple,,2,1,2,2,4,4,7,7,6.5,-0.189708973,-0.127153484,1.199054778,1.841065788,1.230044735
MarieMelmott,,2,2,2,1,6,4.5,4.5,1.5,6.5,0.93409786,0.13364288,-0.232907106,-1.607429717,1.230044735
Marlow,,1,1,1,1,3.222222222,4.583333333,6.277777778,4.805555556,5.638888889,-0.626744964,0.17710894,0.7853769,0.465150915,0.706685771
MarthaSowerby,,2,1,2,2,6,6.5,6.5,7,4.5,0.93409786,1.176828333,0.912662401,1.841065788,0.014501334
MaryBarton,,2,1,1,2,4.4,5.399,4.9,3.6,4.9,0.035052393,0.602554741,-0.003793205,-0.290731433,0.257610015
MaryDouglas,,2,1,1,2,2,7,6.5,4.5,3,-1.313515806,1.437624697,0.912662401,0.273567831,-0.897156216
MaryGarth,,2,1,2,2,4,5.5,6,6,2.5,-0.189708973,0.655235607,0.626270024,1.214066605,-1.201042066
MaryLennox,,2,1,1,2,3.375,2.791666667,4.749583333,3.54125,5.625,-0.540898609,-0.757411362,-0.089949578,-0.327567635,0.698244497
MaudRuthyn,,2,1,1,1,1.5,7,3.5,1,4,-1.594467515,1.437624697,-0.80569186,-1.920929308,-0.289384516
MillicentHenning,,2,1,2,1,7,3,6,5,2,1.496001277,-0.64874621,0.626270024,0.587067423,-1.504927917
MinaMurray,,2,1,2,1,3.583333333,6.833333333,6.833333333,5.416666667,5.416666667,-0.423835397,1.350692576,1.103590652,0.848317082,0.571625393
MissBates,,2,1,2,2,5.7,5.75,3.9,2.95,3.2,0.765526835,0.785633788,-0.576577958,-0.698280902,-0.775601876
MissBetseyTrotwood,,2,1,2,1,6.125,4.25,6.49875,4.375,4.625,1.004335787,0.003244698,0.91194642,0.195192933,0.090472797
MissFlite,,2,1,2,1,1,7,3,1.5,3.5,-1.875419223,1.437624697,-1.092084237,-1.607429717,-0.593270366
MissHavisham,,2,2,1,1,3.221666667,1.832777778,4.333333333,2.5,3.722222222,-0.627057132,-1.257560832,-0.328371232,-0.980430534,-0.458209988
MissMarchmont,,2,1,2,2,2.5,6.5,6.5,2.5,4.5,-1.032564098,1.176828333,0.912662401,-0.980430534,0.014501334
MlleFrancesEvansHenri,,2,1,1,2,3,5.5,7,6.5,6,-0.75161239,0.655235607,1.199054778,1.527566197,0.926158885
Molly,,2,1,2,1,4,6.5,6.5,6,4,-0.189708973,1.176828333,0.912662401,1.214066605,-0.289384516
MollyGibson,,2,1,1,2,2.75,6.375,6.125,4.625,5.75,-0.892088244,1.111629242,0.697868118,0.351942729,0.77421596
MonsieurPaulEmanuel,,1,1,2,2,4.857142857,3.071428571,5.428571429,3.285714286,5.857142857,0.291922527,-0.611489587,0.298964451,-0.487788319,0.839334356
MorrisTownsend,,1,1,2,1,6,3.5,4.5,4.5,5.5,0.93409786,-0.387949847,-0.232907106,0.273567831,0.622273035
Mowgli,,1,1,1,1,5.75,4.2475,5,5.75,5.4975,0.793622006,0.001940716,0.053485271,1.05731681,0.620753605
Mr.AlfredJingle,,1,,,1,7,4,3,5.5,6.5,1.496001277,-0.127153484,-1.092084237,0.900567014,1.230044735
Mr.Bennet,,1,1,2,2,2.857142857,4.428571429,4.714285714,5.071428571,3.428571429,-0.831884306,0.096386256,-0.110167516,0.631853079,-0.63668263
Mr.Bingley,,1,1,2,2,6.25,7,5.25,5.75,4,1.074573714,1.437624697,0.196681459,1.05731681,-0.289384516
Mr.Boldwood,,1,1,1,1,1.5,5,6,1.5,3.5,-1.594467515,0.394439243,0.626270024,-1.607429717,-0.593270366
Mr.Brocklehurst,,1,2,1,2,5,1,6.25,4,1.25,0.372194443,-1.691931664,0.769466213,-0.03993176,-1.960756692
Mr.Camperdown,,1,2,1,1,4.5,1,6,5.5,1,0.091242735,-1.691931664,0.626270024,0.900567014,-2.112699617
Mr.Cheyne,,1,1,2,1,3.5,4.5,6.5,5.5,4.5,-0.470660681,0.13364288,0.912662401,0.900567014,0.014501334
Mr.Emerson(GeorgeEmerson?father),,1,1,2,1,7,5,2,4,7,1.496001277,0.394439243,-1.66486899,-0.03993176,1.533930585
Mr.Hunsden,,1,1,2,2,6.5,2,6.5,5,6.5,1.215049568,-1.170338937,0.912662401,0.587067423,1.230044735
Mr.Jaggers,,1,1,2,1,2.5,1,7,5.75,3.75,-1.032564098,-1.691931664,1.199054778,1.05731681,-0.441327441
Mr.Lockwood,,1,1,1,2,4.333333333,3.5,4,4.5,4,-0.002407834,-0.387949847,-0.519299483,0.273567831,-0.289384516
Mr.Mason,,1,2,2,2,2,3.5,7,4,1,-1.313515806,-0.387949847,1.199054778,-0.03993176,-2.112699617
Mr.Redgauntlet(alsoknownasHerriesofBirr,,1,,,1,4.5,2,6.5,2,4,0.091242735,-1.170338937,0.912662401,-1.293930126,-0.289384516
Mr.Vane,,1,1,1,1,6,4.5,6.5,6,5.5,0.93409786,0.13364288,0.912662401,1.214066605,0.622273035
Mr.Venus,,1,2,2,1,2,5,4.5,3.5,5.75,-1.313515806,0.394439243,-0.232907106,-0.353431352,0.77421596
Mr.Verloc,,1,1,1,1,4.5,3.5,5,4,3,0.091242735,-0.387949847,0.053485271,-0.03993176,-0.897156216
Mr.Weston,,1,1,2,2,7,7,3,5,4.5,1.496001277,1.437624697,-1.092084237,0.587067423,0.014501334
Mr.Wickham,,1,2,1,2,7,6,2.5,5.5,6.5,1.496001277,0.91603197,-1.378476614,0.900567014,1.230044735
Mr.WilkinsMicawber,,1,1,2,1,6.833333333,6.5,2,3.5,5.166666667,1.402350707,1.176828333,-1.66486899,-0.353431352,0.419682468
Mrs.Bennet,,2,1,2,2,6.125,2.25,2.62375,2.125,2.5,1.004335787,-1.039940756,-1.3075945,-1.215555228,-1.201042066
Mrs.Clay,,2,2,1,2,7,3.5,7,6.5,6.5,1.496001277,-0.387949847,1.199054778,1.527566197,1.230044735
Mrs.Croft,,2,1,2,2,4.5,5,6.5,6,5.5,0.091242735,0.394439243,0.912662401,1.214066605,0.622273035
Mrs.Dashwood,,2,1,2,2,5.5,6.5,2.5,2.5,5,0.653146152,1.176828333,-1.378476614,-0.980430534,0.318387185
Mrs.EdithGranger(laterEdithDombey),,2,1,2,1,3,3.25,6.75,4,6.75,-0.75161239,-0.518348029,1.055858589,-0.03993176,1.38198766
Mrs.ElinorCadwallader,,2,,,2,6.5,4.5,5.5,5.5,2.5,1.215049568,0.13364288,0.339877647,0.900567014,-1.201042066
Mrs.Errol,,2,1,2,2,3,7,5,4,3,-0.75161239,1.437624697,0.053485271,-0.03993176,-0.897156216
Mrs.FloraFinching,,2,1,2,1,7,3.5,1,2.5,1,1.496001277,-0.387949847,-2.237653744,-0.980430534,-2.112699617
Mrs.Gardiner,,2,1,2,2,5.5,7,7,7,7,0.653146152,1.437624697,1.199054778,1.841065788,1.533930585
Mrs.GeorgianaMariaGargery(alsoknownasMr,,2,1,2,1,6.25,1.25,4.75,1.5,1.25,1.074573714,-1.561533482,-0.089710918,-1.607429717,-1.960756692
Mrs.Herriton,,2,,,1,4,2,4,4,3,-0.189708973,-1.170338937,-0.519299483,-0.03993176,-0.897156216
Mrs.Jennings,,2,1,2,2,7,6,2.5,5,1.5,1.496001277,0.91603197,-1.378476614,0.587067423,-1.808813767
Mrs.Norris,,2,2,1,2,6.142857143,1,4.999285714,3,2.785714286,1.014369777,-1.691931664,0.053076139,-0.666930943,-1.027393009
Mrs.Proudie,,2,2,1,1,5.5,1.75,5.75,2,3,0.653146152,-1.300737119,0.483073836,-1.293930126,-0.897156216
Mrs.Reed,,2,2,1,2,4.833333333,1.166666667,3.5,1.666666667,1.166666667,0.278543874,-1.604999543,-0.80569186,-1.502929853,-2.011404334
Mrs.Sparsit,,2,,,1,5,1.25,4.25,4,2.5,0.372194443,-1.561533482,-0.376103295,-0.03993176,-1.201042066
Mrs.Weston(PreviouslyMissTaylor),,2,1,2,2,4,6,6,5,4.5,-0.189708973,0.91603197,0.626270024,0.587067423,0.014501334
Mrs.Wilfer(BellaWilfer?mother),,2,1,2,1,5,1,6.5,3,3,0.372194443,-1.691931664,0.912662401,-0.666930943,-0.897156216
NicholasHiggins,,1,1,2,2,6.5,3.5,6.5,4.5,5,1.215049568,-0.387949847,0.912662401,0.273567831,0.318387185
NicholasSowerby,,1,2,1,1,6.5,2.5,2,2.5,5,1.215049568,-0.909542574,-1.66486899,-0.980430534,0.318387185
Nostromo(alsoknownasGian?Battista),,1,1,1,1,6,5,7,7,6,0.93409786,0.394439243,1.199054778,1.841065788,0.926158885
OliveChancellor,,2,,,1,5.5,1.5,6.5,4.5,7,0.653146152,-1.431135301,0.912662401,0.273567831,1.533930585
OliverTwist,,1,1,1,1,4.995,4.995,3.995,4.745,4.995,0.369384926,0.391831279,-0.522163407,0.427182631,0.315348326
OsborneHamley,,1,1,1,2,2.5,4,2,1.5,5.5,-1.032564098,-0.127153484,-1.66486899,-1.607429717,0.622273035
"OziasMidwinter(theyounger,sonofAllanArm",,1,1,2,1,2,6.5,6.5,3,5.5,-1.313515806,1.176828333,0.912662401,-0.666930943,0.622273035
Penelope(Pennyloaf)Candy,,2,1,2,1,1.75,5.75,1.9975,2.5,3.75,-1.453991661,0.785633788,-1.666300952,-0.980430534,-0.441327441
PhilipBossiney,,1,1,2,1,3.25,4.75,6.25,3.25,6.25,-0.611136536,0.264041061,0.769466213,-0.510181147,1.07810181
PhilipHepburn,,1,1,1,2,1.5,5,7,3,4,-1.594467515,0.394439243,1.199054778,-0.666930943,-0.289384516
PhineasFinn,,1,1,1,1,4.5,6.5,7,5.5,6,0.091242735,1.176828333,1.199054778,0.900567014,0.926158885
Pip(alsoknownasPhilipPirrip),,1,1,1,1,4,5.111111111,3.944444444,3.777777778,5.055555556,-0.189708973,0.452393991,-0.551120858,-0.179264912,0.352152279
"PlantagenetPalliser,DukeofOmnium",,1,1,1,1,1,6,6.5,1.5,6,-1.875419223,0.91603197,0.912662401,-1.607429717,0.926158885
PollyHome(PollyMaryHomedeBassompierre),,2,1,2,2,3,4,5,1.5,3.5,-0.75161239,-0.127153484,0.053485271,-1.607429717,-0.593270366
Prendick,,1,1,1,1,2.5,4,6,2.5,4,-1.032564098,-0.127153484,0.626270024,-0.980430534,-0.289384516
PrinceAmerigo,,1,1,1,1,5.5,5.5,5.5,5.5,4,0.653146152,0.655235607,0.339877647,0.900567014,-0.289384516
PrincessCasamassima,,2,1,1,1,6.5,3.5,5.5,5.5,5,1.215049568,-0.387949847,0.339877647,0.900567014,0.318387185
Rachel,,2,2,2,1,2.5,6,6.5,3.5,2.5,-1.032564098,0.91603197,0.912662401,-0.353431352,-1.201042066
RachelRay,,2,1,1,1,5,5.495,7,6,6,0.372194443,0.652627643,1.199054778,1.214066605,0.926158885
RamDass,,1,1,2,2,4.75,7,7,7,6.25,0.231718589,1.437624697,1.199054778,1.841065788,1.07810181
Razumov,,1,1,1,1,4.5,1,6,2,3.5,0.091242735,-1.691931664,0.626270024,-1.293930126,-0.593270366
Rebecca(Becky)Sharp,,2,1,1,1,6.9375,1.75,5.3125,4.6875,6.4375,1.460882313,-1.300737119,0.232480506,0.391130178,1.192059004
RedmondBarry(alsoknownasRedmondBarryLyn,,1,1,1,1,3.5,2,1.5,4,4,-0.470660681,-1.170338937,-1.951261367,-0.03993176,-0.289384516
ReverendJeremiahMaguire,,1,2,1,1,3.5,1,5.5,3,2.5,-0.470660681,-1.691931664,0.339877647,-0.666930943,-1.201042066
ReverendPhilipElton,,1,2,1,2,5.833333333,2.833333333,4.166666667,4.333333333,2.333333333,0.840447291,-0.735678332,-0.423835358,0.169067967,-1.30233735
RhodaNunn,,2,1,1,1,4.75,2.75,7,5.25,5.5,0.231718589,-0.779144392,1.199054778,0.743817218,0.622273035
Richard(Dick)Dewy,,1,1,1,1,5.25,5,4,3.25,3,0.512670298,0.394439243,-0.519299483,-0.510181147,-0.897156216
RichardCarstone,,1,1,2,1,6,4,2.495,1.5,2,0.93409786,-0.127153484,-1.381340537,-1.607429717,-1.504927917
RichardPhillotson,,1,1,2,1,3,6,6.5,7,1,-0.75161239,0.91603197,0.912662401,1.841065788,-2.112699617
RichardSwiveller(alsoknownasDick),,1,,,1,7,5.75,1.25,4.75,6.25,1.496001277,0.785633788,-2.094457556,0.430317627,1.07810181
"RichardtheCrookback,DukeofYork",,1,,,1,5,7,7,4,7,0.372194443,1.437624697,1.199054778,-0.03993176,1.533930585
RobertActon,,1,2,2,1,3.25,3.25,5.5,4.75,4,-0.611136536,-0.518348029,0.339877647,0.430317627,-0.289384516
RobertAudley(SirMichaelAudley?nephew),,1,1,1,2,2,5,2,6,1.5,-1.313515806,0.394439243,-1.66486899,1.214066605,-1.808813767
RobertMartin,,1,1,2,2,2.5,6.5,6.5,5.833333333,4,-1.032564098,1.176828333,0.912662401,1.109566742,-0.289384516
RobertWalton,,1,1,1,2,6.5,4,4,3.5,6,1.215049568,-0.127153484,-0.519299483,-0.353431352,0.926158885
RobertWringhamColwan,,1,2,1,1,3,1,2.5,1.5,4,-0.75161239,-1.691931664,-1.378476614,-1.607429717,-0.289384516
Romolade?Bardi,,1,1,1,2,2,6.5,6,5.5,6,-1.313515806,1.176828333,0.626270024,0.900567014,0.926158885
RosaDartle,,2,2,1,1,3.5,1,5.5,1.5,7,-0.470660681,-1.691931664,0.339877647,-1.607429717,1.533930585
RosalieMurray,,2,1,2,2,7,1.5,2.5,4.5,4,1.496001277,-1.431135301,-1.378476614,0.273567831,-0.289384516
RosamondVincyLydgate,,2,,,2,4.785714286,2.071428571,4.428571429,3.928571429,3.142857143,0.251786568,-1.133082314,-0.273820303,-0.084717416,-0.810331688
Russiantraveler,,1,2,2,1,7,6.25,3.5,3.75,4.625,1.496001277,1.046430152,-0.80569186,-0.196681556,0.090472797
SaireyGamp,,2,2,2,1,7,3.5,5,2.5,5.5,1.496001277,-0.387949847,0.053485271,-0.980430534,0.622273035
SamWeller,,1,1,2,1,7,3.5,7,5,5.5,1.496001277,-0.387949847,1.199054778,0.587067423,0.622273035
SaraCrewe,,2,1,1,2,4.166666667,6,6.111111111,6,6.5,-0.096058404,0.91603197,0.689912775,1.214066605,1.230044735
SergeantCuff,,1,1,1,1,1,4,7,7,6,-1.875419223,-0.127153484,1.199054778,1.841065788,0.926158885
She(alsoknow,,2,2,1,1,6.6,1.9,4.799,3.2,4.899,1.27123991,-1.22249821,-0.061644465,-0.541531106,0.257002243
ShereKhan,,1,1,2,1,4.5,4,7,6,6.5,0.091242735,-0.127153484,1.199054778,1.214066605,1.230044735
SherlockHolmes,,1,1,1,1,3.642857143,3.214285714,5.857142857,5.428571429,5.857142857,-0.390388765,-0.53697634,0.544443631,0.855781358,0.839334356
ShirleyKeeldar,,2,1,2,2,7,4.5,2,2,7,1.496001277,0.13364288,-1.66486899,-1.293930126,1.533930585
SibylVane,,2,,,1,3.25,6.5,5,3,5.4975,-0.611136536,1.176828333,0.053485271,-0.666930943,0.620753605
SilasWegg,,1,2,1,1,5.333333333,1.666666667,5.166666667,2.833333333,4.666666667,0.559495582,-1.34420318,0.148949396,-0.771430807,0.115796618
SirBriandeBois-Guilbert,,1,2,1,1,5.5,2,5.5,6,1.5,0.653146152,-1.170338937,0.339877647,1.214066605,-1.808813767
SirHenryCurtis,,1,1,2,1,5.5,6,6.5,6,5.5,0.653146152,0.91603197,0.912662401,1.214066605,0.622273035
SirPeregrineOrme,,1,1,2,1,4,4.5,6.5,4.5,2.5,-0.189708973,0.13364288,0.912662401,0.273567831,-1.201042066
SirThomasBertram,,1,2,1,2,1.5,1.5,4.5,2.5,1.5,-1.594467515,-1.431135301,-0.232907106,-0.980430534,-1.808813767
SirWalterElliot,,1,,,2,6.5,2,3.5,3,1,1.215049568,-1.170338937,-0.80569186,-0.666930943,-2.112699617
SirWilloughbyPatterne,,1,2,1,1,4.5,2.5,6,3.5,2,0.091242735,-0.909542574,0.626270024,-0.353431352,-1.504927917
SoamesForsyte,,1,,,1,1,3,7,2.5,1.5,-1.875419223,-0.64874621,1.199054778,-0.980430534,-1.808813767
SophiaBaines,,2,1,1,1,7,3.5,7,6.5,7,1.496001277,-0.387949847,1.199054778,1.527566197,1.533930585
SophroniaLammle,,2,2,2,1,6.5,2,6,5,5,1.215049568,-1.170338937,0.626270024,0.587067423,0.318387185
St.JohnRivers,,1,1,2,2,3.181363636,2.227272727,6.817727273,4.68,5.135,-0.649703543,-1.051795136,1.094651739,0.386427684,0.400436364
