chrname,book,chrsex,valence,salience,authrsex,ae,aa,ac,as,ao,zae,zaa,zac,zas,zao
Captain Frederick Tilney,-,1,2,2,2,4.5,3,6.5,7,5,0.091242735,-0.64874621,0.912662401,1.841065788,0.318387185
Captain Rawdon Crawley,-,1,,,1,4.75,6,2.25,5.5,3.5,0.231718589,0.91603197,-1.521672802,0.900567014,-0.593270366
Captain Tom Mac Whirr,-,1,1,1,1,1,2,5.5,4.5,1.5,-1.875419223,-1.170338937,0.339877647,0.273567831,-1.808813767
Captain Wentworth,Persuasion,1,,,2,4.1875,5.561875,6.436875,5.186875,5.5,-0.084352083,0.687509156,0.876505363,0.704237895,0.622273035
Captain William Dobbin,-,1,1,2,1,3.25,6.5,6.25,6.5,4.75,-0.611136536,1.176828333,0.769466213,1.527566197,0.166444259
Caroline Bingley,pride_and_prejudice,2,2,1,2,5.5,1.5,5,4.25,3.5,0.653146152,-1.431135301,0.053485271,0.116818036,-0.593270366
Caroline Jellyby (Caddy),-,2,1,2,1,5,3.5,6.5,3,5.5,0.372194443,-0.387949847,0.912662401,-0.666930943,0.622273035
Carry Brattle (Jacob Brattle's daughter),-,2,1,2,1,3,6,2.5,2.5,5,-0.75161239,0.91603197,-1.378476614,-0.980430534,0.318387185
Catherine Arrowpoint,Daniel_Deronda,2,1,2,2,1.5,6.5,7,6.5,6.5,-1.594467515,1.176828333,1.199054778,1.527566197,1.230044735
Catherine Earnshaw (later Linton),wuthering_heights,2,1,1,2,6.368421053,2.973684211,3.052368421,2.447368421,6.026315789,1.141114908,-0.662472335,-1.062088404,-1.013430491,0.942152877
Catherine Morland,Northanger_Abbey,2,1,1,2,5.35,5.9995,4.4,3.5,5.35,0.568860639,0.915771174,-0.290185582,-0.353431352,0.53110728
Catherine Sloper,Washington_Sqaure,2,1,1,1,1,6,5,5,2.5,-1.875419223,0.91603197,0.053485271,0.587067423,-1.201042066
Cathy Linton,wuthering_heights,2,1,1,2,1.5,7,4,4.5,4,-1.594467515,1.437624697,-0.519299483,0.273567831,-0.289384516
Cecil Vyse,A_Room_with_a_View,1,2,1,1,5,1.5,7,4.5,2.5,0.372194443,-1.431135301,1.199054778,0.273567831,-1.201042066
Chadwick (Chad) Newsome,The_Ambassadors,1,1,2,1,7,6.5,2.5,5,3.5,1.496001277,1.176828333,-1.378476614,0.587067423,-0.593270366
Charles Darnay (St. Evremonde),a_tale_of_two_cities,1,1,1,1,7,7,4,4,4,1.496001277,1.437624697,-0.519299483,-0.03993176,-0.289384516
Charles Wilcox,Howards_End,1,2,1,1,5.5,1,3.5,1.5,1,0.653146152,-1.691931664,-0.80569186,-1.607429717,-2.112699617
Charlotte Lucas,pride_and_prejudice,2,1,2,2,1.5,5.785714286,6.571428571,6.357142857,1.928571429,-1.594467515,0.8042621,0.953575598,1.437994885,-1.548340181
Charlotte Stant,The_Golden_Bowl,2,,,1,5.25,4,6.5,4.75,6.75,0.512670298,-0.127153484,0.912662401,0.430317627,1.38198766
Christopher Newman,The_American,1,1,1,1,5.166666667,5.5,6.5,5.666666667,5.5,0.465845013,0.655235607,0.912662401,1.005066878,0.622273035
Clara Copperfield,David_Copperfield,2,1,2,1,1.5,6,3.5,2,1.5,-1.594467515,0.91603197,-0.80569186,-1.293930126,-1.808813767
Clare Hyacinth Kirkpatrick Gibson,Wives_and_Daughters,2,,,2,5.5,2,4,3,2.5,0.653146152,-1.170338937,-0.519299483,-0.666930943,-1.201042066
Colin Craven,The_Secret_Garden,1,1,2,2,4.25,1.875,3.125,1.875,5.375,-0.049233119,-1.235538028,-1.020486143,-1.372305024,0.546301572
Colonel Brandon,sense_and_sensibilities,1,1,2,2,1.5,6.5,7,7,3,-1.594467515,1.176828333,1.199054778,1.841065788,-0.897156216
Colonel Guy Mannering,Guy_Mannering,1,1,1,1,4,3.25,7,3.25,6.25,-0.189708973,-0.518348029,1.199054778,-0.510181147,1.07810181
Count Dracula,Dracula,1,2,1,1,3.958333333,3.25,5.041666667,4.333333333,4.541666667,-0.213121616,-0.518348029,0.077351302,0.169067967,0.039825155
Count Fosco,The_Woman_in_White,1,2,1,1,6.75,3,6.5,5.625,6.25,1.355525423,-0.64874621,0.912662401,0.978941912,1.07810181
Cynthia Kirkpatrick,Wives_and_Daughters,2,,,2,5.5,4.5,2.5,4,6.75,0.653146152,0.13364288,-1.378476614,-0.03993176,1.38198766
Daisy Miller,Daisy_Miller,2,1,2,1,6.833333333,6,3,3.666666667,6.333333333,1.402350707,0.91603197,-1.092084237,-0.248931488,1.128749452
Daniel Deronda,Daniel_Deronda,1,1,1,2,4.25,6.75,7,6.25,6.75,-0.049233119,1.307226515,1.199054778,1.370816401,1.38198766
Daniel Quilp,The_Old_Curiosity_Shop,1,2,1,1,7,1,4,4,5.495,1.496001277,-1.691931664,-0.519299483,-0.03993176,0.619234176
David Balfour,Catriona,1,1,1,1,4.5,6,6,6,6,0.091242735,0.91603197,0.626270024,1.214066605,0.926158885
David Copperfield,David_Copperfield,1,1,1,1,4.75,7,4.75,4.75,5.25,0.231718589,1.437624697,-0.089710918,0.430317627,0.47033011
Dickon Sowerby,The_Secret_Garden,1,1,2,2,4.25,7,6.625,7,6.875,-0.049233119,1.437624697,0.984260495,1.841065788,1.457959123
Diggory Venn,Return_of_the_Native,1,1,2,1,1,6.5,7,6.5,6.5,-1.875419223,1.176828333,1.199054778,1.527566197,1.230044735
Disko Troop,Captains_Courageous,1,1,2,1,6,6,6.5,5.5,3.5,0.93409786,0.91603197,0.912662401,0.900567014,-0.593270366
District Manager,Heart_of_Darkness,1,2,1,1,5,1.5,4,3,2,0.372194443,-1.431135301,-0.519299483,-0.666930943,-1.504927917
Dolge Orlick,Great_Expectations,1,2,1,1,2,1,1.75,1.25,1.75,-1.313515806,-1.691931664,-1.808065179,-1.764179513,-1.656870842
Dolly Longstaffe,The_Way_We_Live_Now,1,1,2,1,5.5,6.5,1.5,5.5,2,0.653146152,1.176828333,-1.951261367,0.900567014,-1.504927917
Dorian Gray,The_Picture_of_Dorian_Grey,1,1,1,1,5.336346154,3.048076923,3.586346154,3.682307692,5.797884615,0.561188497,-0.623669637,-0.756234099,-0.239124577,0.803318874
Dorothea Brooke,Middlemarch,2,1,1,2,3.775,5.84975,6.225,4.375,6.19975,-0.316137242,0.837662663,0.755146594,0.195192933,1.047561282
Dr.Henry Jekyll,The_Strange_Case_of_Dr_Jekyll_and_Mr_Hyde,1,,,1,3.333333333,3.333333333,5.333333333,4.333333333,7,-0.564311251,-0.474881968,0.244413522,0.169067967,1.533930585
Dr. John Watson,The_Hound_of_the_Baskervilles,1,1,2,1,5.333333333,6.333333333,6.166666667,3.833333333,4.166666667,0.559495582,1.089896212,0.72173415,-0.144431624,-0.188089232
Dr. Seward,Dracula,1,1,2,1,3.5,5.5,7,5.5,6.5,-0.470660681,0.655235607,1.199054778,0.900567014,1.230044735
Dr. Tertius Lydgate,Middlemarch,1,1,1,2,4.7,5.1,5.6,4.6,5.7,0.203623418,0.446598516,0.397156123,0.336267749,0.743827375
Dr. Van Helsing,Dracula,1,1,2,1,3.9,4.6,7,6,6.1,-0.245899315,0.185802152,1.199054778,1.214066605,0.986936055
Drusilla Clack,The_Moonstone,2,1,2,1,5.5,1.75,3.5,2.75,3.25,0.653146152,-1.300737119,-0.80569186,-0.823680739,-0.745213291
Drusilla Fawley,Jude_the_Obscure,2,1,2,1,3.5,7,7,7,1,-0.470660681,1.437624697,1.199054778,1.841065788,-2.112699617
Ebenezer Balfour,Kidnapped,1,2,1,1,4,1.5,4,4,3,-0.189708973,-1.431135301,-0.519299483,-0.03993176,-0.897156216
Edgar Linton,wuthering_heights,1,,,2,1.5,3.5,7,4,3.5,-1.594467515,-0.387949847,1.199054778,-0.03993176,-0.593270366
Edmund Bertram,Mansfield_Park,1,1,2,2,2.75,6.25,5.5,5,4.5,-0.892088244,1.046430152,0.339877647,0.587067423,0.014501334
Edward (Teddy) Ponderevo,Tono_Bungay,1,1,2,1,7,4,4,3,7,1.496001277,-0.127153484,-0.519299483,-0.666930943,1.533930585
Edward Hyde,The_Strange_Case_of_Dr_Jekyll_and_Mr_Hyde,1,2,1,1,5.625,1.125,1.25,2,3.25,0.723384079,-1.626732573,-2.094457556,-1.293930126,-0.745213291
Edward Rochester,jane_eyre,1,1,2,2,4.157142857,3.071428571,5.042285714,3.657142857,5.814285714,-0.101409865,-0.611489587,0.077705883,-0.254902909,0.813286998
Edward Waverley,Waverley,1,1,1,1,4.25,6.25,3.5,4.25,4.75,-0.049233119,1.046430152,-0.80569186,0.116818036,0.166444259
Edward Weston,Agnes_Grey,1,1,2,2,3.5,7,5.5,5.5,3.5,-0.470660681,1.437624697,0.339877647,0.900567014,-0.593270366
EdwinReardon,New_Grub_Street,1,1,1,1,1.375,6,7,1.375,5,-1.664705442,0.91603197,1.199054778,-1.685804615,0.318387185
EffieDeans,The_Heart_of_Mid_Lothian,2,1,2,1,5,4.5,2,3,4,0.372194443,0.13364288,-1.66486899,-0.666930943,-0.289384516
EleanorHarding,The_Warden,2,1,1,1,5.5,5.5,4.75,4.75,4.75,0.653146152,0.655235607,-0.089710918,0.430317627,0.166444259
EleanorTilney,Northanger_Abbey,2,1,2,2,3.5,5,6.5,5,4.5,-0.470660681,0.394439243,0.912662401,0.587067423,0.014501334
ElinorDashwood,sense_and_sensibilities,2,1,1,2,2.45,5.9,6.9,6.4,4.6,-1.060659269,0.863872697,1.141776303,1.464866278,0.075278504
ElizabethBennet.,pride_and_prejudice,2,1,1,2,5.543209877,5.175925926,6.302469136,5.580246914,5.932037037,0.677425929,0.486200927,0.799519734,0.950881763,0.884852919
ElizabethLavenzaFrankenstein,Frankenstein_or_the_Modern_Prometheus,2,1,2,2,3.75,4.5,5.5,2.5,2,-0.330184827,0.13364288,0.339877647,-0.980430534,-1.504927917
EllenDean(NellyDean),wuthering_heights,2,1,2,2,3.333333333,5.5,6,6.5,4.333333333,-0.564311251,0.655235607,0.626270024,1.527566197,-0.086793949
Emily(alsoknownasLittleEm?y),David_Copperfield,2,1,1,1,4,4,4,3.5,5.5,-0.189708973,-0.127153484,-0.519299483,-0.353431352,0.622273035
EmmaWoodhouse,Emma,2,1,1,2,6.439054054,4.253175676,4.506621622,4.594391892,5.520067568,1.180803833,0.004901107,-0.229114342,0.33275147,0.634469534
ErmengardeSt.John,A_Little_Princess,2,1,2,2,4.25,5.75,1.75,2.5,2.5,-0.049233119,0.785633788,-1.808065179,-0.980430534,-1.201042066
Estella,Great_Expectations,2,,,1,1,1.5,4.5,4,4,-1.875419223,-1.431135301,-0.232907106,-0.03993176,-0.289384516
EstherSummerson,Bleak_House,2,1,1,1,2,6.5,6.75,5,4.416666667,-1.313515806,1.176828333,1.055858589,0.587067423,-0.036146307
EstherWaters,Esther_Waters,2,1,1,1,3.5,6,6.5,4.5,2.5,-0.470660681,0.91603197,0.912662401,0.273567831,-1.201042066
